time,reaction
00:00,"yeah the car was working really well of"
00:01,"course that last thing was a bit longer"
00:03,"than we initially would have liked but"
00:05,"with the safety car you had to pit and"
00:07,"from there on was just about managing"
00:09,"the the ties to the end to make sure"
00:10,"that the ties would would last but I do"
00:13,"have to say that um the last few laps"
00:15,"when I was catching the the back markers"
00:17,"my tires were starting to be a bit cold"
00:18,"and it was quite tricky like with the"
00:20,"grip was very easy to to have big"
00:22,"moments so I had to take my time to get"
00:24,"through the back markers and once I"
00:25,"clear them again I I could just settle"
00:27,"in and you know around here with all the"
00:30,"being so close easy to make a mistake"
00:32,"and of course I wanted to to prevent that"
00:33,"it was a strong strong result for"
00:36,"the team the whole team has done an"
00:37,"amazing job the stops were amazing it"
00:39,"was a bit of a shame you know that we"
00:41,"got compromised with that early safety"
00:42,"car and with the penalty um but it was"
00:45,"overall um a good solid race for the whole team"
00:47,"I don't think there was"
00:49,"anything uh to do better today on the"
00:52,"medium we struggle a bit more than we"
00:54,"expected on the beginning of the hard we"
00:56,"struggled a bit more than we expected"
00:58,"towards the end we were fast because we"
01:00,"we obviously did the fastest lap in the"
01:02,"last lap which was nice uh uh we got"
01:05,"helped a little bit with the DRS but all"
01:06,"in all I felt good with the car there"
01:08,"are just few things that we need to uh"
01:11,"look had some weird vibrations but apart from that all good"
01:13,"I think that was was"
01:15,"the most we could have done um so"
01:17,"leaving jeda very happy to be honest"
01:19,"um yeah got past Fernando early on got"
01:23,"stuck behind L for a long time and um"
01:25,"then once he pitted I was was okay but"
01:28,"um yeah still definitely showed some"
01:30,"some things that we need to to improve a"
01:32,"little bit but um yeah I think that was"
01:35,"definitely the most we could do at the moment"
01:36,"I feel great I feel"
01:38,"uh yeah a little more uncomfortable now"
01:41,"but uh uh no the race was good and uh"
01:45,"the Bas was was better than bin still I"
01:48,"think we are faster on qualifying than"
01:50,"the race but we could fight with the"
01:52,"McLarens today and the Mercedes I think"
01:55,"Red Bull and Ferrari still one one step"
01:57,"ahead but um yeah I was comfortable with"
02:00,"a car I'm happy with today's race"
02:02,"right now it's we we're fluctuating in"
02:04,"performance quite a lot um you know"
02:06,"we've seen potential in the car um but"
02:09,"unfortunately these last two weekends we"
02:11,"haven't really shown it when it's"
02:12,"mattered so we need to understand why"
02:14,"that is and what we need to do um but as"
02:17,"we've seen it is very close between"
02:18,"ourselves McLaren Aston and Ferrari um"
02:22,"we just need to be on top of it"
02:23,"physically it was a really difficult"
02:25,"race um especially at the end when I had"
