time,reaction
00:00,"yeah I can just tell you I'm extremely"
00:01,"happy and not only because of these last"
00:03,"two weeks but because of how difficult"
00:05,"this year it's been so far you know as I"
00:07,"said on the radio a bit of a roller"
00:09,"coaster you start the year with the bad"
00:13,"news of the non-renewal and a bit"
00:15,"thinking okay what's next in my life uh"
00:17,"and then you prepare yourself you go"
00:19,"training you do your winter testing you"
00:22,"arrive to the first race and boom h a"
00:23,"good Podium that sets the season going"
00:26,"gets the season going and then suddenly"
00:28,"the appendix"
00:30,"the the unknown of when am I going to be"
00:33,"back am I going to be back in full form"
00:35,"how long it's going to take me to to get"
00:37,"back up to speed and and confident and"
00:40,"then suddenly you come back and win"
00:41,"first and second was the best we could"
00:43,"do this weekend so on that I'm very"
00:44,"happy on my own performance I'm not"
00:47,"extremely happy in qualifying I didn't"
00:48,"do a great job I was starting further"
00:51,"back than what I would have hoped for uh"
00:53,"in the race my second stint wasn't great"
00:55,"I had a lot of front graining my last"
00:57,"stint was really good but that was too"
00:58,"late to uh"
01:00,"to do anything and and caros has been on"
01:02,"it the whole weekend so um"
01:04,"congratulations to him he deserves it"
01:06,"probably wasn't expecting to have the"
01:07,"pace we did today I think we expected"
01:09,"good Pace but maybe not to keep up with"
01:11,"Charles and honestly I would say our"
01:12,"Pace was probably a bit better than"
01:13,"Charles today they undercut us uh they"
01:16,"got the upper hand on this one so maybe"
01:18,"we kind"
01:19,"of can review our decisions and and what"
01:22,"we tried to achieve but uh you're always"
01:24,"in a tricky spot when you're in in this position"
01:26,"yeah I think definitely we we"
01:28,"we a bit quicker than we expected"
01:30,"um yeah when we we could hang with the"
01:32,"Ferraris that was uh a positive surprise"
01:35,"and obviously Max went out early but um"
01:38,"yeah was surprised czecho wasn't a bit"
01:40,"quicker so um yeah good result happy"
01:43,"with that and uh I think you know the"
01:45,"fact that we were able to stay pretty"
01:47,"close to Ferrari was a a great sign"
01:50,"uh we just struggled to put the the car in"
01:52,"the window I think uh the first instinct"
