time,reaction
00:00,"yeah I mean uh of course we had a little"
00:01,"hiccup in in Melbourne but then of"
00:03,"course it's very nice to to come back"
00:04,"here and uh yeah just basically have a"
00:06,"perfect weekend uh the car was um bit of"
00:10,"a question mark going into the race but"
00:12,"I think we made the right calls before"
00:13,"we went into qualifying because uh it"
00:16,"definitely helped the car also today and"
00:18,"uh that's why I think I could just push"
00:20,"a little bit more feel a little bit more"
00:21,"comfortable with with the balance of the"
00:23,"car and basically on on every compound"
00:25,"every uh fuel load you know from the"
00:28,"start to the end of the race I uh yeah just felt good in the car"
00:30,"yeah it was"
00:31,"quite"
00:33,"um difficult the the first thing"
00:35,"especially I think we were out of"
00:37,"balance a bit we we couldn't have the"
00:39,"life we wanted and that compromise Aras"
00:41,"with Lando pitting so early um we were"
00:44,"then out of sync and uh meant that our"
00:47,"second s on the medium we had to push"
00:49,"and come through the traffic and it was"
00:52,"just getting harder and harder for us so"
00:54,"unfortunately yeah we just didn't got"
00:56,"the the life out of those mediums uh"
00:59,"initially the heart I think was was good"
01:02,"um but uh but it was just a little bit out of sync"
01:05,"yes it was a very strong uh"
01:08,"race H it wasn't easy very strategic"
01:11,"very a a lot of things going on with"
01:12,"Tire degradation one stops two stops"
01:15,"whether to use the new they used medium"
01:17,"at the restart anyway I think we nailed"
01:20,"a very good race with some good"
01:21,"overtakes at the end uh yeah at one"
01:24,"point in the race I thought it was not"
01:26,"going to to happen the podium but then"
01:28,"in the last team when I put the new"
01:30,"heart the tire gave me a really good"
01:31,"feeling and I could push on it and get back to it"
01:33,"well I mean I'm if I only"
01:35,"look at today I'm quite happy uh because"
01:38,"I think there was nothing we could have"
01:40,"done better we've done a great race"
01:41,"today I think we are uh we didn't have a"
01:46,"better results mostly because of the"
01:47,"qualifying yesterday and this is where I"
01:49,"want to focus which is strange in the"
01:51,"past I never had to really focus on"
01:52,"qualifying because that was one half"
01:54,"hour strength but since two race it's"
01:56,"not really the performance in itself"
01:58,"it's just putting the tires in the right"
01:59,"window and I've been struggling a bit"
02:00,"more than normally which is normally my"
02:02,"strength and I'm paying the price uh"
02:04,"today in the race by starting further"
02:06,"away but apart from that the pace has"
02:08,"been really really good time management"
02:09,"has been really really good"
02:10,"communication and strategy has been"
02:12,"really really good so uh it's also good"
02:14,"to be voted driver day sometimes you do"
02:17,"great races but you are a bit on your"
02:19,"own and nobody notices it today I'm"
02:21,"happy that people noticed it and uh"
02:23,"we'll focus on the next race to try and"
02:24,"put everything together and to finally have the result that we want"
02:26,"we never"
02:28,"had to Pace today so"
02:30,"was tough just uh trying to cover a lot"
02:32,"of things and trying to stay ahead but"
02:34,"on a track like this it's the opposite"
02:36,"thing of what you want to do um so I"
02:38,"think let's say a good day feels uh"
02:41,"doesn't look nice starting third"
02:42,"finishing fifth um say shouldn't be"
02:45,"happy with it but I think we didn't have"
02:46,"any more Pace today clearly the Ferraris were another level to us"
02:48,"yeah I think we"
02:50,"were a little bit better than than the"
02:52,"last few events but still uh we we still"
02:55,"miss some Pace compared to McLaren and"
02:56,"and Mercedes uh and uh yeah Red Bull and"
02:59,"Ferrari they are in another league so"
03:01,"yeah we're still I think fifth fastest"
03:03,"team which uh yeah normally we should be P9 and P10"
03:05,"yeah we know it's very tight"
03:08,"out there at the moment uh everyone"
03:10,"behind the Red Bulls we didn't have a"
03:13,"great day yesterday and ultimately paid"
03:15,"the price today and you've seen it I"
03:17,"think two of the four races now you know"
03:19,"one two1 between six cars on the grid"
03:23,"and if you qualify at the front of that"
03:24,"pack you'll probably be finishing at the"
03:26,"front of that pack so um it's quite cool"
03:29,"that the fight is like that it's a shame"
03:31,"it's not for for the"
03:32,"win but equally we know this um these"
03:36,"last three circuits haven't really"
03:37,"suited our the strengths of our cast so we'll re test next week in China"
03:40,"yeah"
03:42,"busy race um obviously you know not not"
03:45,"fighting for the positions that we"
03:46,"wanted to be in but um yeah just just"
03:49,"struggled I think on my side it's not"
03:51,"being the the best of weekends um I"
03:54,"think also as a team we we struggled a"
03:56,"bit more today than we we expected to as"
03:58,"well so um"
