time,reaction
00:00,"it's incredible I don't know what I me"
00:02,"to say I just want to smile the rest of"
00:05,"the day um yeah it's an it's an amazing"
00:08,"feeling seeing everyone applauding and"
00:10,"cheering and seeing the whole team there"
00:13,"so happy uh I've let them down a few"
00:16,"times but I think today makes up for"
00:18,"every moment that we've had together the"
00:19,"ups and downs today overtakes everything"
00:22,"by a country mile so just happiness and"
00:26,"uh having spreading that happiness and"
00:28,"and kind"
00:28,"of spreading it with my whole team with"
00:31,"McLaren that's something I've dreamed of"
00:33,"doing for a long time and uh today I"
00:35,"managed to do it so I don't know it's"
00:38,"hard to describe like what it is like as"
00:41,"much as I think of so many things I'm"
00:43,"also just empty like I'm lost I don't"
00:45,"know what I'm going to say so just happy"
00:49,"just uh I'm just going to smile and not talk that's it"
00:51,"the base was just not"
00:53,"really there like I was pulling away but"
00:56,"it was just marginal you know so it"
00:57,"wasn't particularly good but on the hard"
01:00,"Tire it really took a step back where of"
01:02,"course on a harder compound you have a"
01:04,"little bit lower mechanical grip and"
01:05,"that then tipped it over the edge where"
01:08,"yeah we didn't seem to have a lot of grip"
01:09,"I think we did a great job with the"
01:11,"situation we found ourselves in we"
01:13,"cannot control when a safety car is"
01:15,"going to come out we stopped maybe a"
01:17,"little bit too early but I'm sure there"
01:19,"are reasons I don't have time yet to"
01:21,"speak with the team to understand the"
01:22,"reasons why we stopped early um that"
01:25,"puts us a lot on the back foot because"
01:26,"then with the safety car everyone was"
01:28,"packed again and I was in the Middle"
01:29,"with"
01:30,"much more used tires compared to"
01:32,"everybody else but we did a great job"
01:33,"managing that the start we were very"
01:36,"lucky to got out with Carlos ccho and"
01:38,"myself without any damage because I"
01:41,"think czecho was a bit too optimistic there"
01:42,"I did a a really good start I was"
01:45,"P2 into turn one and like they say in"
01:48,"the old school days czecho came like a"
01:50,"torpedo and uh nearly took a soul with"
01:52,"him uh we take avoiding action and uh"
01:56,"and I lost the positions for that move"
01:58,"uh from there I had yeah good Pace as I"
02:00,"said uh if we would have extended one"
02:02,"more lap we could have won this race"
02:04,"like Lando did because we boxed just the"
02:06,"lap before the safety car and we were"
02:07,"ahead of Lando at the time uh so a bit"
02:10,"frustrated there again frustrated with"
02:12,"the start frustrated there frustrated"
02:14,"with Oscar because he obviously run us"
02:16,"off off track and we had contact and"
02:19,"then uh I had to be aggressive to"
02:20,"overtake because this weekend for some"
02:22,"reason we were struggling to overtake I"
02:25,"I sent it on on the inside in 17 and uh"
02:28,"from then we had good Pace still the end but we was too late"
02:30,"as soon as I died in"
02:32,"the inside of Charles I could see that"
02:34,"there was as soon as I hit the brakes"
02:36,"there was no grip at all like we saw"
02:38,"yesterday with Louis um offline here"
02:40,"especially in ton one there is no grip"
02:42,"zero grip down there and um I did struggle quite a bit unfortunately"
02:45,"I've"
02:46,"really enjoyed this weekend race- Wise"
02:49,"It's been a lot of fun on track really"
02:51,"great tough close battles I mean jeez"
02:54,"going down to turn 11 up against the"
02:56,"wall Wheels locked I was like oh jeez"
02:59,"this could be a big either big crash"
03:01,"into this corner or I'm going by uh so I"
03:04,"love that I had that"
03:08,"um like in zero fear in that moment so"
03:12,"I'm super grateful for that uh and then"
03:15,"yeah just to be able to hold on to the"
03:16,"Bulls or to to aall the bull was really"
03:19,"quite cool uh great job by my team and"
03:22,"then massive congratulations too before"
03:24,"you asked to uh to Lando won my first SC"
03:28,"Prix with McLaren I know how special"
03:30,"this to get that first one so huge"
03:31,"congratulations to him he truly deserves"
03:33,"it and McLaren wow um I'm really really happy for him as my whole family"
03:36,"finally"
03:38,"very happy and uh yeah first all very"
03:42,"good job for the teams you know this"
03:44,"week uh we score every every every"
03:47,"session and yeah incredible week and"
03:50,"actually kind of we expected we going to"
03:52,"have good performance but uh the most"
03:55,"important thing is that we achieved it"
03:57,"you know and uh we sck to our plan and"
04:01,"uh I think uh we we didn't have much"
04:03,"mistake so uh yeah that was a very good job and very happy with him"
04:05,"yeah it was"
04:07,"pretty Rish race from start to finish in"
